usernames,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
Alavesino,3,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0
Ava_Sharify,5,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0
Carla,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0
Carla123,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,5,0,0,0,0,0
Danielchr,5,4,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0
Daniricardo,4,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0
Dostry,4,0,4,0,5,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,0
Enasus,5,3,2,0,5,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,5,0,0,0,0
Galatas97,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,4,0,0,0,0,0
Isabella.Pizarro,5,0,5,2,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0
Jamilk14,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,5,0,5,0,0,0,0,0
Josef,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,0,4,0,0,0,0,0
Juanro97,4,0,5,0,3,0,0,0,0,0,0,0,0,0,0,0,3,5,0,0,0,0,0,0,0
MartinaCilia,4,4,0,0,3,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0
Michi,4,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0
Nadine,5,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,5,0,0,0,0,0
PatrickR,4,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,4,5,0,0,0,0,0,0,0
SHazbar,4,0,3,0,5,0,0,0,0,0,0,0,0,0,0,0,4,5,0,0,0,0,0,0,0
Samer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,0,0
Thomas,5,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,5,5,0,5,0,0,0,0,0
Thomas1,5,4,0,0,2,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0
ThomasTruyts,4,1,3,0,5,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0
a.rodriguez,5,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,3,5,0,0,0,0,0,0,0
cdaltro,5,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,5,5,0,4,0,0,0,0,0
cpana94,5,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0
dan,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,1,0,0,0,0,0
danielchr,0,3,3,3,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0
eli,4,0,5,0,3,0,0,0,0,0,0,0,0,0,0,0,2,5,0,0,0,0,0,0,0
emmafayos,5,2,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0
fer12345,3,0,3,0,5,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0
franbaiz,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0
fstenger,0,4,5,0,1,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0
idafensp,0,3,3,0,4,0,0,0,0,0,0,0,0,0,0,0,2,5,0,0,0,0,0,0,0
ihumbert,4,3,4,0,5,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0
joanatravel,4,5,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0
jorgegonzalezgranero,5,2,4,0,5,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
judetest,0,5,5,0,5,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0
karimnassif,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,0,2,2,0,0,0,0
kespin,4,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,4,5,0,0,0,0,0,0,0
kikobori,3,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0
lluis,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,4,0,0,0,0,0
manu3,5,5,5,0,5,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0
manu4,4,0,0,5,0,0,0,4,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0
manu5,4,4,0,0,5,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0
mely,5,0,5,0,3,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0
mgadi,5,3,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0
minymadrid,5,0,0,3,5,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0
nacho_001,5,4,4,0,5,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0
nizar.masri,5,4,0,5,2,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0
nmesarod,4,5,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0
pedro11,0,2,2,3,1,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0
petermayer,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
pierreb,5,3,0,0,5,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0
pmonzalla,0,2,1,2,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0
raffapellegrini,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,2,5,0,2,0,0,0,0,0
ritakaram,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,1,0,0,0,0,0
